STATION,DATE,TMAX,city
USW00023174,1981-03-23,183,Los Angeles (LAX)
USW00023174,1981-03-24,206,Los Angeles (LAX)
USW00023174,1981-03-25,194,Los Angeles (LAX)
USW00023174,1981-03-26,161,Los Angeles (LAX)
USW00023174,1981-03-27,167,Los Angeles (LAX)
USW00023174,1981-03-28,178,Los Angeles (LAX)
USW00023174,1981-03-29,167,Los Angeles (LAX)
USW00023174,1981-03-30,172,Los Angeles (LAX)
USW00023174,1981-03-31,183,Los Angeles (LAX)
USW00023174,1981-04-01,172,Los Angeles (LAX)
USW00023174,1981-04-02,156,Los Angeles (LAX)
USW00023174,1981-04-03,167,Los Angeles (LAX)
USW00023174,1981-04-04,222,Los Angeles (LAX)
USW00023174,1981-04-05,311,Los Angeles (LAX)
USW00023174,1981-04-06,239,Los Angeles (LAX)
USW00023174,1981-04-07,178,Los Angeles (LAX)
USW00023174,1981-04-08,178,Los Angeles (LAX)
USW00023174,1981-04-09,183,Los Angeles (LAX)
USW00023174,1981-04-10,172,Los Angeles (LAX)
USW00023174,1981-04-11,189,Los Angeles (LAX)
USW00023174,1981-04-12,194,Los Angeles (LAX)
USW00023174,1981-04-13,189,Los Angeles (LAX)
USW00023174,1981-04-14,172,Los Angeles (LAX)
USW00023174,1981-04-15,161,Los Angeles (LAX)
USW00023174,1981-04-16,172,Los Angeles (LAX)
USW00023174,1981-04-17,183,Los Angeles (LAX)
USW00023174,1981-04-18,172,Los Angeles (LAX)
USW00023174,1981-04-19,144,Los Angeles (LAX)
USW00023174,1981-04-20,178,Los Angeles (LAX)
USW00023174,1981-04-21,211,Los Angeles (LAX)
USW00023174,1981-04-22,211,Los Angeles (LAX)
USW00023174,1981-04-23,200,Los Angeles (LAX)
USW00023174,1981-04-24,183,Los Angeles (LAX)
USW00023174,1981-04-25,194,Los Angeles (LAX)
USW00023174,1981-04-26,189,Los Angeles (LAX)
USW00023174,1981-04-27,211,Los Angeles (LAX)
USW00023174,1981-04-28,272,Los Angeles (LAX)
USW00023174,1981-04-29,333,Los Angeles (LAX)
USW00023174,1981-04-30,233,Los Angeles (LAX)
USW00023174,1981-05-01,206,Los Angeles (LAX)
USW00023174,1981-05-02,172,Los Angeles (LAX)
USW00023174,1981-05-03,200,Los Angeles (LAX)
USW00023174,1981-05-04,206,Los Angeles (LAX)
USW00023174,1981-05-05,206,Los Angeles (LAX)
USW00023174,1981-05-06,211,Los Angeles (LAX)
USW00023174,1981-05-07,233,Los Angeles (LAX)
USW00023174,1981-05-08,233,Los Angeles (LAX)
USW00023174,1981-05-09,272,Los Angeles (LAX)
USW00023174,1981-05-10,261,Los Angeles (LAX)
USW00023174,1981-05-11,233,Los Angeles (LAX)
USW00023174,1981-05-12,222,Los Angeles (LAX)
USW00023174,1981-05-13,211,Los Angeles (LAX)
USW00023174,1981-05-14,211,Los Angeles (LAX)
USW00023174,1981-05-15,206,Los Angeles (LAX)
USW00023174,1981-05-16,206,Los Angeles (LAX)
USW00023174,1981-05-17,217,Los Angeles (LAX)
USW00023174,1981-05-18,217,Los Angeles (LAX)
USW00023174,1981-05-19,194,Los Angeles (LAX)
USW00023174,1981-05-20,189,Los Angeles (LAX)
USW00023174,1981-05-21,206,Los Angeles (LAX)
USW00023174,1981-05-22,211,Los Angeles (LAX)
USW00023174,1981-05-23,211,Los Angeles (LAX)
USW00023174,1981-05-24,217,Los Angeles (LAX)
USW00023174,1981-05-25,200,Los Angeles (LAX)
USW00023174,1981-05-26,233,Los Angeles (LAX)
USW00023174,1981-05-27,233,Los Angeles (LAX)
USW00023174,1981-05-28,217,Los Angeles (LAX)
USW00023174,1981-05-29,206,Los Angeles (LAX)
